title,title_link,company,"SOFTWAREARTISAN,WHAT?Experienceworkingoncross-functionalteams—Fusioniskindofabigdealhere.OurSoftwareArtisansaresuccessfulbecausetheyhave",result-link-bar,tt_set,turnstileLink,slNoUnderline,location,date,location1
Regional Business Representative,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A3-XFC0yiZgS9oVxJxLcxT1Mzk7N6vmrGSO1A2oKPE4Kja1rCzi-G3Knyi1t8oQ7I0_uHVUmt0DZQY2Zo5JdqFmX8F7F6XjkIlD4qMegCmkO04uGijDam0xoZ8wNRbxpvw-47vqtTgUFh0qjN_1ygY88y6Hz1D2rgM9A8iUhzQyciJINRxXjpfHN_X2viwj_nrNwrVheJh_mh48D2XNVxkdzQzrwvXdBj4rLQWfuiJOBZzbfDsKW54sDmEs6DGue7j5ERnBvfhjJG0sg3qSLORw8JypBlLwx1cZm_jm5_RCeljB5SXIdkgI4_tn53k8dYX4t_H5VKmdMl-RCrNU3A0KgwM8qGVlWg5eacCJAQx_b7CU6O_we8tW2Mcl06LPoaPjC_RM-63ExzN9TsfeTdTgAxVy451rZ7WSCUWleKiSmoCUL-G2EEBnNLyIo4HjIeYMnkNEt28_g==&vjs=3&p=2&fvj=1,FlannelJax's,A strong working knowledge of modern computer software platforms such as Microsoft Office. The Field Representative is also involved in the further development...,Sponsored - save job,save job,,,,,"Detroit, MI"
Software Developer,https://www.indeed.com/rc/clk?jk=6085d02a740a4f47&fccid=1653eb35ebdfd315&vjs=3,VeriFacts Automotive,Experience with Enterprise iOS device configuration and provisioning is a big plus. We are looking for a jack-of-all-trades software and IT engineer....,4 days ago   -  save job - more...,-  save job - more...,VeriFacts Automotive,2 reviews,"Detroit, MI 48226 (Downtown area)",4 days ago,
I.T. Business Intern,https://www.indeed.com/company/Royalty-Dance-Studio/jobs/T-Business-Intern-5cb9d5a63853ad5f?fccid=a29fd5eea85c8746&vjs=3,WeKnowI.T.,"Consulting services, software engineering, cloud services, data science, IT infrastructure, accounting, and business development....",18 days ago   -  save job - more...,-  save job - more...,,,"Detroit, MI",18 days ago,
Data Center Computer Operator,https://www.indeed.com/rc/clk?jk=3533f3d68a9d4891&fccid=3faabb4e4dc9a0f5&vjs=3,Blue Cross Blue Shield of Michigan,"Working knowledge of enterprise hardware, software, operating systems and peripherals. Communicates the status of software, hardware and application processing...",13 days ago   -  save job - more...,-  save job - more...,Blue Cross Blue Shield of Michigan,645 reviews,"Detroit, MI",13 days ago,
Data Analyst Supporting the FBI,https://www.indeed.com/rc/clk?jk=572fa7e47c3987ba&fccid=6938ae63907f2672&vjs=3,FSA,Ability to prepare and correct reports and correspondence using word processing software. Focused on delivering unsurpassed services in support of law...,11 days ago   -  save job - more...,-  save job - more...,FSA,54 reviews,"Detroit, MI 48226 (Downtown area)",11 days ago,
Software Development Intern,https://www.indeed.com/rc/clk?jk=442b71e118f7088c&fccid=5eba6cbf1bc2efb8&vjs=3,"NUARX, INC.",Software Development Intern. Maintain and improve existing software. WHAT YOU?LL BE DOING:. You will be working directly with team leads to design and build new...,5 days ago   -  save job - more...,-  save job - more...,,,"Southfield, MI 48075",5 days ago,
Help Desk Representative,https://www.indeed.com/rc/clk?jk=8ea1badbedf42ae3&fccid=9dea9f44f7471a29&vjs=3,Little Caesars,Evidence of knowledge and experience with call center software. This position is part of a team of Help Desk professionals supporting software solutions to...,"Ilitch Holdings, Inc. - 11 hours ago   -  save job - more...",-  save job - more...,Little Caesars,"11,041 reviews","Detroit, MI",11 hours ago,
Software Developer Junior,https://www.indeed.com/company/TTi-Global/jobs/Software-Developer-Junior-a0469c5e110e9651?fccid=f03eedf71299a8dc&vjs=3,TTi Global,Software Developer- 10643. 2+ Years Software Development in Angular and C#. At least 1 year of Software Development Experience in Angular 2.0+ (not Angular JS)...,16 days ago   -  save job - more...,-  save job - more...,TTi Global,30 reviews,"Southfield, MI",16 days ago,
Digital Applications Intern (2 of 3),https://www.indeed.com/rc/clk?jk=f328698ec0111ee4&fccid=9dea9f44f7471a29&vjs=3,Little Caesars,"Software development using .Net, Java or Dart. Quality and value are core values at Little Caesars, but the brand also represents passion, fun, commitment and a...","Ilitch Holdings, Inc. - 5 months ago   -  save job - more...",-  save job - more...,Little Caesars,"11,041 reviews","Detroit, MI",5 months ago,
AS/400 Software Developer,https://www.indeed.com/company/Gonzalez-Contract-Services/jobs/Software-Developer-813c867e3929d4dc?fccid=9225c9de03b24937&vjs=3,Gonzalez Contract Services,"_\*Gonzalez CS offers a competitive compensation and benefits package including Health coverage, Dental, Vision, Life Insurance, 401K, paid Holidays and paid...",28 days ago   -  save job - more...,-  save job - more...,Gonzalez Contract Services,8 reviews,"Southfield, MI",28 days ago,
