title,title_link,company,"SOFTWAREARTISAN,WHAT?Experienceworkingoncross-functionalteams—Fusioniskindofabigdealhere.OurSoftwareArtisansaresuccessfulbecausetheyhave",result-link-bar,tt_set,turnstileLink,slNoUnderline,location,date,location1
Datastage Developer,https://www.indeed.com/rc/clk?jk=ee151222e6ff0cf5&fccid=2df6a1e69a70a1e7&vjs=3,Cognizant,Prepare various computer software designs. Maintain and perform tests on all Software Development Life Cycle and ensure required product....,17 days ago   -  save job - more...,-  save job - more...,Cognizant,"11,137 reviews","Dearborn, MI",17 days ago,
Business Application Developer Adv.,https://www.indeed.com/rc/clk?jk=88b107c80b5c9aaa&fccid=3faabb4e4dc9a0f5&vjs=3,Blue Cross Blue Shield of Michigan,"Write software code, test, debug, and document and maintain computer applications. Provide support to all phases of the application development process to...",30+ days ago   -  save job - more...,-  save job - more...,Blue Cross Blue Shield of Michigan,645 reviews,"Detroit, MI",30+ days ago,
"Intern, Engineering",https://www.indeed.com/rc/clk?jk=282c935fca9b03c2&fccid=ee8b18938058bf4b&vjs=3,Meritor,"Familiar with personal computers and spreadsheet software packages. A Student who is pursuing a Degree in Electronics, Mechatronics or Automotive Technology....",4 months ago   -  save job - more...,-  save job - more...,Meritor,649 reviews,"Troy, MI",4 months ago,
Motorsports Design Engineer (Xfinity Cup Team),https://www.indeed.com/company/Stewart-Haas-Racing/jobs/Motorsport-Design-Engineer-8d7eccbd33cba5b0?fccid=92b136bf2fa86152&vjs=3,Stewart-Haas Racing,"Surface Part modeling with CATIA software:. CATIA, Microsoft Office Software, 3D printers, mathematics, and basic hand tools....",7 days ago   -  save job - more...,-  save job - more...,Stewart-Haas Racing,4 reviews,"Detroit, MI",7 days ago,
Analysis and Development in Systems Engineering,https://www.indeed.com/rc/clk?jk=475f7eb450ab0f92&fccid=fc04695e1d3b9c1a&vjs=3,INVENSITY GmbH,Design software architectures and algorithms or hardware systems. Analyze risks for software and/or hardware development and derive relevant measures....,5 months ago   -  save job - more...,-  save job - more...,INVENSITY GmbH,4 reviews,"Detroit, MI",5 months ago,
Software Engineer - GUI developer,https://www.indeed.com/company/Altair-PD/jobs/Software-Engineer-5608d057821787a6?fccid=2e7f1920598a1854&vjs=3,Altair,"Experience with CFD/ FEA pre-processing software. The candidate will work very closely with a young team of software developers, in a vibrant work environment...",30+ days ago   -  save job - more...,-  save job - more...,,,"Troy, MI",30+ days ago,
Part-time Teller,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bg_3sUHFGVfjgWMw9SLd6zppxy4cwrvVB-X6FMplY061v-pwEn8scZwnJEeeIDRXfkSF5Ex_sfc8pW_zvd8eEMmCLcjEZsa35bxGST522cgc5r3b0f4HxvIcRPJDc8QYCv-6gUHNJ7IYoxdupLGk_yubI9YP4o9CVfCvuo3PUAkP6SNHiR4ygmTRt-TNuGA3I8Jkfz9MP6OLhias9kO4y-B8LfTixm_kEk81Ztub7YTTXm5OW5yS3MGWkVFMOu-MHMQPlsMCEBqFpp3yhvXtfL7nrm5aZa5MY1JBTS4Hg2JqMgGjdxGEa-x3m9YWOS-4Wjfe-zzURtMKoANCa7dXqz8Aeeys9A-fVzlew_M9Jmr9FEmGKbpwW-QWMAoAnTXdI45TPqwxK7_pOjTxNJR7cUIeCZMjbPaTnGpFrbR06Bb62Q3wONb9-lHNVdsueNSp1JB6YcFmtmvrvqW_6xYBdTQAvy-cbOcJZG5unSEhWgJDpV27Iq5a_2tNx5CsiA6Fl_T7zEfk3SYA==&vjs=3&p=1&fvj=0,Michigan Schools & Government Credit Union,"Demonstrated proficiency with technology and software, and functionally able to operate other standard office equipment....",Sponsored - save job,save job,Michigan Schools & Government Credit Union,25 reviews,,,"Clinton Township, MI 48038"
Maintenance Technician,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BJL_JOYCYI6MH1DiaMkBP4CL_8rs5G_15cLon-qRY-jJDNwVZ6vpWgE_YE7cQB6pWj-d79uXmaVg-7jAhtqzWoltWeR45uvgN15MW_3-upMG3rTFDR664GKivhuhkaWKj6VaGBd6q5HxN__W0ibz3_qXJep3EXqYBODXwI-qrNbfwqiT344trz43Q06YK6IhvTRNRgQIeMRbVwSF15gPM6sOmGuEr2uqbeE86pfEVA3DGUlF3woK24_6eeg3rhCEsPJWExRjQMS6SfxpILTYrwEW0-x3eCawyrQun-0EyWgV-2gIR0NHIfwZL1DZO67jlSu_IV_qfaHROz_tkVYtgWV0XTZu_1lsmYTRvZXfTTT2QqQfiKmIuAXbg0k_T7pjsOM8p7LZSu86ZgGSbZRh3QucmMl62V3M_Uy40Z4Sl-Uit6IE8gUbv0guHksrkeVj-lpGEk2m8eNg==&vjs=3&p=2&fvj=0,Presbyterian Villages of Michigan,"Ability to operate a computer and operate maintenance software. Generous paid time off. Builds, installs, repairs and/or maintains machinery, equipment,...",Sponsored - save job,save job,Presbyterian Villages of Michigan,23 reviews,,,"Westland, MI 48186"
Customer Service Representative,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CpzDdaQkua3np5pkmj49lKioZwmwxQ-yx5plwbYmV_MxdPTDBI8Bj9CuWfJueBlkh3BgzPg6ERJ4MGO_4kyI7i64plGJHN8tTQDMUHF5y4tzB0U-q3kBgxEqqokZCnTRtWnbdstfALMR-t5OuAXRNcxk46BrNZ2etcrxwZeIUmHbFVcw9AcfyxVf18A11ITy3oH3uWhHSG38-rpVCRp5uyjjWzNS0KzWm4x9iTUKAYf_F_E07-vgdZPeF0RPwKDGjb6-BQBASQskeHhLz6nc-BHucED6-n9Kzldlt5Ntynwr8t1TwMsJjDEBBmTyZbyaqSC_a2UN9K-xu2JwUv95mRQtI24EYg3FFlDQNjyhyKN9ggc_ZiEkCDY7JVpq2QjIglKuEbq3_MzPJjrpJm3cLdWoUKV03wfYMhW-sPZrdlwI8pVf6Yx3Q1g4U1BqeGnM9ChuNn6_5dXWQQspmojKnrRuBawSRXhf9HePKCY-WWFGxYSQbbCLU2&vjs=3&p=3&fvj=0,OfficeTeam,What you get to do every single day. Basic knowledge in computer software programs and office equipment. We are looking for a service 'champion' who knows how...,Sponsored by Robert Half - save job,save job,OfficeTeam,793 reviews,,,"Southfield, MI 48033"
Software Engineer,https://www.indeed.com/rc/clk?jk=b09d8c0f128333c5&fccid=043e196503daac08&vjs=3,Credibly,"Credibly mission is to build a Data Science driven FinTech Lending Platform which improves the speed, cost, experience, and choice of capital to small and...",30+ days ago   -  save job - more...,-  save job - more...,Credibly,4 reviews,"Troy, MI 48084",30+ days ago,
Embedded Software Engineer,https://www.indeed.com/rc/clk?jk=58308c82a1515ca0&fccid=86b39e8431ac7b5f&vjs=3,Optimal,"5+ years of experience in embedded software development using C and/or C++ on real time applications 5+ years of experience applying secure coding practices,...",23 days ago   -  save job - more...,-  save job - more...,Optimal,13 reviews,"Dearborn, MI",23 days ago,
Intern - PS&PD,https://www.indeed.com/rc/clk?jk=aa754340def9466d&fccid=9725fea546053a12&vjs=3,Trinity Health,"Software design tools. Participates in implementing data driven strategies to support payer initiatives, contract analytics, product development, population...",30+ days ago   -  save job - more...,-  save job - more...,Trinity Health,366 reviews,"Livonia, MI 48152",30+ days ago,
Embedded Front End Web Developer,https://www.indeed.com/rc/clk?jk=6a74033ff5c7e1a1&fccid=761c44c17d636bfe&vjs=3,Ford Motor Company,3+ years of experience with HTML/CSS/JavaScript front-end software development. Develop user-facing HTML/JavaScript front-end web application software for the...,25 days ago   -  save job - more...,-  save job - more...,Ford Motor Company,"5,248 reviews","Dearborn, MI 48126",25 days ago,
Senior Software Developer,https://www.indeed.com/rc/clk?jk=3392c0b335160c1c&fccid=a562581f87856bf3&vjs=3,Pillar Technology,"SOFTWARE ARTISAN, WHAT? Our software artisans are successful because they have:. Active participation in Agile and software craftsmanship communities and we...",30+ days ago   -  save job - more...,-  save job - more...,Pillar Technology,6 reviews,"Detroit, MI",30+ days ago,
BMS Software Engineer,https://www.indeed.com/company/Contemporary-Amperex-Technology-USA-Inc/jobs/Bms-Software-Engineer-8c6986985660de3c?fccid=812b136efae9f63c&vjs=3,Contemporary Amperex Technology USA Inc,This individual must have a passion for embedded system software development. As an Embedded Systems Software Application Engineer you will have responsibility...,20 days ago   -  save job - more...,-  save job - more...,,,"Rochester Hills, MI",20 days ago,
SQL Programmer (Plymouth),https://www.indeed.com/rc/clk?jk=ec9f93e7d6f0b5de&fccid=00aaaa7997e4d20e&vjs=3,Loc Performance,Will interact with various departments to identify business metrics and translate into BI platform utilizing Intelliplex;...,9 hours ago   -  save job - more...,-  save job - more...,Loc Performance,48 reviews,"Plymouth, MI",9 hours ago,
Systems Software Developer,https://www.indeed.com/rc/clk?jk=e6d917c2f3600d5e&fccid=10985a554c8c0bcb&vjs=3,QNX Software Systems,Develop custom software solutions based on customer requirements. Components of the QNX Neutrino RTOS cover a wide range of software and hardware technologies:....,4 months ago   -  save job - more...,-  save job - more...,QNX Software Systems,2 reviews,"Novi, MI 48375",4 months ago,
Records Examiner / Analyst Supporting the FBI,https://www.indeed.com/rc/clk?jk=5e71b047068b550c&fccid=6938ae63907f2672&vjs=3,FSA,Create and manipulate spreadsheets Prepare and correct reports and correspondence using word processing software....,30+ days ago   -  save job - more...,-  save job - more...,FSA,54 reviews,"Detroit, MI 48226 (Downtown area)",30+ days ago,
IT Support Specialist,https://www.indeed.com/rc/clk?jk=992efa235aef9fdc&fccid=789ae15ad270dafa&vjs=3,Midway Dental Supply LLC,"Performs and/or oversees software and application installation and upgrades. Loads appropriate software packages such as operating systems, networking...",8 days ago   -  save job - more...,-  save job - more...,,,"Livonia, MI 48150",8 days ago,
Customer Service Representative,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BFZTBn8HwyUPs8e2u2osMVGsWqVjyo5iEHGvi4ofoXKb10ycUkP02qtJBlN7W-Wrc_spTY5UN1rmXnuegIRde3vWkliy0CQnwps5B8ffxUrpoHAgzrD7jvhfutHmzJyPbmQL3IhRVjO_YdlXj401OWoaRRlC6n8UAdeNdzPv2ViON732Gr2wnoUNInFQI_5J_UFYFwe8-3g3ZOBGNg9tzFlLbze6pUwJ0CE-wGQO86DnulC0lldmW_SKGDjEh3M3QHuw_GS74F8zhoUN21kvxNMehtU0qVScu_LyQ7XYHJYhat_7YhX9bXypLdEb6HF71kk3XisqEbwOnJUqzB4cNScxIvJwNfj2xsEStQY1onHFghYwaz1H5llG8FGLp84M8F6heqrFkIDWyoI7MTWMNDncjnmCBYDChrLaTfzU9AziqjW6ObNv6LXnb2yz7fXrN42I2hTYJZudOmy5q1-z6X2m20wmJrgy9HWvRMZV0EcILVYBngXXjvk3Axmj33I7zu0Ort6nZ8IojN9zqCPdynj9zOQXTEHfvqEWHJPeeYB5RG8wVCikdfWy2yPjbOwacJpHc2E4bh-w==&vjs=3&p=1&fvj=0,Trillium,Oversee software applications and troubleshoot with customers as needed. Work with IT customer contacts to install printer monitoring software....,Sponsored - save job,save job,Trillium,363 reviews,,,"Oak Park, MI 48237"
Spa Coordinator,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AC840r7UrgvK12FVzdB5t4_rAyaPqKoYV6cdN5YnYcezmFprkOVktQwtDWy5rqc9gnFa7edTTgYWmWwXC3LyfYQoZdFbaC7bBpmwtQiW36bmY-23cQbCCLQfEFBrSQz1NJM48kid8MquD8aUMbQGbgp9Y3dy_eFFohPtqElGoCVfFhnqWRAL3uM_XmvmYPKETFz7x_vm7EvxNr3fHxKsc3SEJKW_a_uBavYL9MWCjIk3QkLmd4a7YOyQIqIe6o4iLMo4MS0-hvJUCBfMZNrRfYb9dGv411oUrzZKZ3Wmi3GXV3C61MRUtugk5wQdvC-QVR359nPD9fDInZ3y6riiKpqyZjuqxVNoxfDURmjj04Va_UARy5ZNSx6B3F98LHymIZARxNk-3mbtPoD7L9HTKLjq3qV3dlV9E6iRVGG0XHCJpimiEDIcup&vjs=3&p=2&fvj=1,Life Time,"Knowledge of computer software such as Microsoft Office, Excel, PowerPoint and Outlook. Please apply on our career website:....",Sponsored - save job,save job,Life Time,"2,212 reviews",,,"Novi, MI"
Accounts Payable Specialist,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Car0f_G-tQiCoknxsuNzZz4Hz1UvwgCAAAbu2BuiMxotnAm4P97O8t0uKZai1P-2GnopfjvInFtXokY7gNT9lMsYklx0TbeGMNZ-y-oMxGFKs5O-74U5IcDdxysIKMaZldXisZOpizpMpGyPYpk-Wflt8uRltpuCYTF_7UmlsxbxFTFOIVMKQQkQT4gyZ9KAQJCFoKyGRpZrg7Nlv-v-F2EAQ6ekOsEKaBMhHKMzggnUkMV9DYCK88b0S8ZL6Xg1aNgpYLGZhy7qLWaM2WtvGDQ6bVMdfr_tzaee-3mV1zH9NKwMjVE_O74Dflzjj4nhlnVnhfEeGWV4WwbtdfoNDDiBjgr0PNRj-wR2R_zxDBUMhpvATVwXQAm6IENZJW1l7TORjDlNXvavxsqAs1K-MsrKlCSdE2U9Co-IFlLmCXe3LcoqZshE-eEz53HJ4_ywMPV8YczKmW3w==&vjs=3&p=3&fvj=1,Ameristar Management,"Hands-on experience with spreadsheets and proprietary software. As a growing Real Estate Holdings company, we are looking for a skilled accounts payable clerk...",Sponsored - save job,save job,,,,,"Royal Oak, MI 48067"
Network Administrator,https://www.indeed.com/rc/clk?jk=fb315a14b0afe8fb&fccid=9dea9f44f7471a29&vjs=3,Little Caesars,"Install and maintain network hardware and software. Maintain familiarity with currently implemented and new technology, including new versions of software,...","Ilitch Holdings, Inc. - 30+ days ago   -  save job - more...",-  save job - more...,Little Caesars,"11,041 reviews","Detroit, MI",30+ days ago,
DevOps Engineer,https://www.indeed.com/rc/clk?jk=b82f7166c521ffc6&fccid=761c44c17d636bfe&vjs=3,Ford Motor Company,1+ years of Embedded Software Development experience. 2+ years of Web Based Software Development experience....,30+ days ago   -  save job - more...,-  save job - more...,Ford Motor Company,"5,248 reviews","Dearborn, MI 48126",30+ days ago,
.NET Developer,https://www.indeed.com/rc/clk?jk=cebd462d3cdbd5dc&fccid=b0d2aa2426fe6603&vjs=3,Secure Check Cashing,Financial Services Software Job title:. 5+ Years of experience in .NET software development. Develop extensive financial services and pos software utilizing...,11 days ago   -  save job - more...,-  save job - more...,,,"Madison Heights, MI 48071",11 days ago,
Programmer Analyst,https://www.indeed.com/rc/clk?jk=e252b15fa0e15aa8&fccid=3b39d0d8741b48d7&vjs=3,G3 Infotek,"Bigdata development and implementation, Loading from disparate data sets, Pre-processing using Hive and Pig, Designing, building, installing, configuring and...",5 months ago   -  save job - more...,-  save job - more...,,,"Livonia, MI 48152",5 months ago,
Software Developer in Test,https://www.indeed.com/rc/clk?jk=f973319520fb312e&fccid=84cd147e548b6d2c&vjs=3,RouteOne,"Design, develop, and test robust, scalable, and high quality automated testing scripts for functional, regression, and performance testing Building, customizing...",4 months ago   -  save job - more...,-  save job - more...,RouteOne,18 reviews,"Farmington Hills, MI",4 months ago,
"Intern, Research Mechatronics",https://www.indeed.com/rc/clk?jk=197a8418fc01a58d&fccid=aaec0480e2e19692&vjs=3,Plastic Omnium,Basic ability to navigate Internet and Intranet software packages. The Research Coop / Intern is responsible to support research projects to meet defined...,30+ days ago   -  save job - more...,-  save job - more...,Plastic Omnium,327 reviews,"Troy, MI",30+ days ago,
Python – Full Stack Developer,https://www.indeed.com/rc/clk?jk=f23edc5a2e15e146&fccid=9ace5aa4e4fa6ce2&vjs=3,iknowvate technologies,"Job Category Software Development. Full stack developer able to work on both front-end and back-end code – Python – JavaScript frameworks (Angular, React, etc) ...",30+ days ago   -  save job - more...,-  save job - more...,,,"Detroit, MI",30+ days ago,
Mobile App Developer,https://www.indeed.com/rc/clk?jk=c5546102c8cb2e5f&fccid=b2fe08812d384dd8&vjs=3,Cogent IBS,"Experience or Training in Native iOS/Android/Windows Mobile development, Analytical and Design skills, Development experience of any software applications using...",5 months ago   -  save job - more...,-  save job - more...,,,"Bingham Farms, MI",5 months ago,
.NET Software Developer,https://www.indeed.com/rc/clk?jk=141c629f5b6a9d5d&fccid=d0458c21d1914b2a&vjs=3,United Shore,"As a Developer at United Shore you will work in a fast paced, results driven .NET environment and be responsible for building a highly scalable enterprise...",18 days ago   -  save job - more...,-  save job - more...,United Shore,86 reviews,"Pontiac, MI",18 days ago,
Software Systems Engineer,https://www.indeed.com/rc/clk?jk=e55119546f917cd8&fccid=837bf790761c391a&vjs=3,ZF,Development and evaluation of software requirements and architectures of Embedded Braking Software against functional and quality requirements....,6 months ago   -  save job - more...,-  save job - more...,ZF,"1,272 reviews","Livonia, MI",6 months ago,
Quality Manager,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BeUd2EnSLT4zd0sSYusLmifonnx0L9CUztPxmay57e7ndxNC06XYkCFUW0x75UNW3jkAys0AOKW-E36NFC4IMkw2LBb3UOTMsRkVbcC9j9zzZ-_Q84gyp4rV0PO0l0yVM_fVok5HIPn7luLHM0oicosm4EW8252D1rPdxVpoOZnZcPzSfTfZ6RDAjdNgAoXejXZR1SEj_-ve2gs0vPLCQVZF9auq5As20FSYiUi2ZODhSFfr7npqPGGqugEhkHY6q-NceMpQv8fKVHLf5NO4oaUnTunKLBx9J5d3r0FCwmGMRBBQeSFTjnmZluRgUS9ONn5lso_pgi3g_qnJPfHVZVuNAlQaWPi_MxYpC-IfPyyjm-L_N6HiFX9udKhkfWH-ROJoZ_YiCtcUYHMHLtOrxlm9CUT8FQoPTG0B2PvDQtvw==&vjs=3&p=1&fvj=1,confidential,"If you are interested in being considered, please send a current resume today. In order to maintain those standards and achieve our goals for continuous...",Sponsored - save job,save job,,,,,"Wayne, MI"
Apartment manager & Leasing Agent,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B2SV9krhQyHTpmCyTqvlFPMoVRCfx_nvo2NzizC5IY7DOGuzacZ9caTnmrxy9T2x4M04pY6KTp2JO8lH1a1krHdwIZwc5atH8qd_HwpzZFWa0vLElifJ7zxo6XIIe1j7elBgh-VnBA_F75-7ZPrf4mCp7SJcLuVV6oQGPE0yft2UmRC2B4kb65Z4k0xsanBh0YYWTqJxfmZW9S0v637fWDSpdJECwmu7A5G5c9ck3xMUJZ2NSXPhejhwc4H7LMQoBN1OzCcEWUDq1bL3Y6fWdg-TUyMgiHve81A4Xwt0wCIT4LZ_-WxUpNImiQ3tTDHbXiCedQFbA0AWFXj-M3auApxWwiqLvzP4ZLc6JYTXUJKDrRiY76NwAKAk1MAN1eD977AZecCvevCZVgnXWgtWyCGm9Ib5KABZhauLYgsEMZwTZGcsNPgQAXAABOfHZACA_KbaTGwadmtg==&vjs=3&p=2&fvj=1,ID GROUP LLC,"Ensure guest cards are complete, entered into the property management software, and follow up is completed for prospects....",Sponsored - save job,save job,,,,,"Detroit, MI"
Dental Assistant,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B9Hsat2P3rF6_mJFf3QEVzylo6rKZPsCRYT2MaVWINYXgH5Hk0Pd_LcLKuZuFLupd-Uk_iovgx5Jbmad2P_FY6IQ9Zi-KyyyAxvyxiNCjoPd8dK-1Hxtc9u3S8f-utxVQDefIVdM5Hq820cy2_wjmIHrGmQfKWITyDg-SthLY9VrHy4OjtKXrkfwM2_OEWR_yoG3nx_dGWzK0qSSUX21Z2aig6hZXEw-95quHbTwyUOIpYv2m68yBwzkJETCWAbhKAGOiZt9FRdp01IBJwslWG8NP6gZOM-usJvI9tHh4g-mc5HvQkKi6GsncG3y48A0gHGoAqVjjuqkVuwLEjcaoF9Qd-_H3fTzksbTd86KyY5fJieHm9iYtxzTP8pBbxv_n10tkMwhna4bFb9Ld8u6RsuuVD3nolimFFn1bv-Ttu7A==&vjs=3&p=3&fvj=1,Bright Side Dental,Working knowledge of Dentech software preferred. Ability to accurately utilize electronic dental record and practice management software....,Sponsored - save job,save job,Bright Side Dental,10 reviews,,,"Farmington, MI"
CPhT Certified Pharmacy Technician,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bfxkq3aLGp9a9SCeK9WkCotBu70kxYldyZ_fK-18TJnZWCi_G35FGQQN8CwnTTgciS877gLgyWWHERSc-CEvfiFoSNwntXEkf5MEddHeG9ZuZCK0AOH64xCG7dLXToVX_VRUa8r2sxnNlzTIvsS351tmWR13EkyVLP-FyRSQBZ9vqWee8sAt_yMAHXh6eqG7QAx30q8WxuGwsAfzbnrjib7IwiGIKcRyo_KKGo5boxjt3HKw6ndj91RAFVjQCbXIGspzCll_quB7Atudv_zXcJWCrfeEEMWoDyLyRHEmlAYRfd_l1p13LFlzyQi-wtJGiBQMYMAJ1aO8u-3eGoKRlAJNk6bP-_iuh18nm1618vh5ONN29AhDvVT5bbWUwgyYVylYx8kl58w1ckUL-3tlEVrGLh8JygMaFBubteVDrVEhY3qVcIEnax8mCXsJ9C3TIOd97xcQx4gcdiHEGaoQ6h&vjs=3&p=4&fvj=1,University Compounding Pharmacy,"Input prescriptions and verify appropriate information from phone, fax and E-scribe software. The ideal candidate provides great customer service, takes pride...",Sponsored - save job,save job,,,,,"Troy, MI 48098"
Student Information System Security & Controls – Senior Cons...,https://www.indeed.com/rc/clk?jk=c441b10565fde21c&fccid=9e215d88a6b33622&vjs=3,Deloitte,Build and nurture positive working relationships with clients with the intention to exceed client expectations....,17 days ago   -  save job - more...,-  save job - more...,Deloitte,"7,814 reviews","Detroit, MI 48243 (Downtown area)",17 days ago,
SYNC Automation Developer,https://www.indeed.com/rc/clk?jk=69094a55888a3b2b&fccid=761c44c17d636bfe&vjs=3,Ford Motor Company,"10+ years software development experience on embedded, mobile, or consumer electronic platforms. Experience coding in C++, or Java....",28 days ago   -  save job - more...,-  save job - more...,Ford Motor Company,"5,248 reviews","Dearborn, MI 48126",28 days ago,
Engineering Group Manager - Software Implementation,https://www.indeed.com/rc/clk?jk=10548a3ae5cce2e1&fccid=8d390ab1843cb8bd&vjs=3,Aptiv,Software technical expertise. Software staffing and training. Software project oversight and strategy....,7 hours ago   -  save job - more...,-  save job - more...,Aptiv,"2,394 reviews","Troy, MI",7 hours ago,
Manager of Evaluation- Y POSITIVE PLAY INITIATIVE (YPPI)- EQ...,https://www.indeed.com/rc/clk?jk=fef964fe033b096c&fccid=cff6c2b12d7dc183&vjs=3,YMCA of Metropolitan Detroit,"Processes for data may include, Qualtrics, Scantron software and hardware, data analysis, and preparing required written reports....",6 days ago   -  save job - more...,-  save job - more...,YMCA of Metropolitan Detroit,"24,618 reviews","Detroit, MI 48213",6 days ago,
Mechatronic Engineer - Software,https://www.indeed.com/rc/clk?jk=804acb9865bf33a9&fccid=837bf790761c391a&vjs=3,ZF,Mechatronic Engineer - Software. With a focus on software development:. Participate in the assembly of prototypes & help resolve any build issues....,10 days ago   -  save job - more...,-  save job - more...,ZF,"1,272 reviews","Northville, MI",10 days ago,
IT Help Desk,https://www.indeed.com/rc/clk?jk=24e0a1a99e104715&fccid=7104545662919656&vjs=3,Tier2Tek,Works with procurement staff to purchase hardware and software. 1st line support – troubleshooting of IT related problems from software to Hardware....,26 days ago   -  save job - more...,-  save job - more...,Tier2Tek,6 reviews,"Detroit, MI",26 days ago,
Associate IT Engineer,https://www.indeed.com/company/Henniges-Automotive/jobs/Associate-IT-Engineer-26186e7c20905a65?fccid=961f17c36a987913&vjs=3,Henniges Automotive,"The Associate IT Engineer will support servers, client facing hardware, and software as well as ensure the security of systems are in alignment with corporate...",6 days ago   -  save job - more...,-  save job - more...,Henniges Automotive,137 reviews,"Auburn Hills, MI 48326",6 days ago,
Mid Level Programmer,https://www.indeed.com/rc/clk?jk=8bf22c967639a78f&fccid=95fb2c26c07febfc&vjs=3,TradeFirst.com,Experience with Software Repositories such as git. Tradefirst is a leader in technology in their industry and needs the right person to help continue the...,30+ days ago   -  save job - more...,-  save job - more...,TradeFirst.com,3 reviews,"Oak Park, MI 48237",30+ days ago,
Software Engineer,https://www.indeed.com/rc/clk?jk=52da8930016cd076&fccid=a0e2120faa043e56&vjs=3,Blue Chip Talent,Excellent software debugging skills. Experience developing software to a process (e.g. 5+ years experience developing software applications with C++....,4 months ago   -  save job - more...,-  save job - more...,Blue Chip Talent,4 reviews,"Detroit, MI",4 months ago,
Principal Engineer - Software,https://www.indeed.com/rc/clk?jk=3a0850833235f183&fccid=b83c1d0f7ff6df91&vjs=3,BCS Automotive Interface Solutions,"Generate documentation including release notes for all relevant baselines, software development plan, software requirement specifications and software quality...",30+ days ago   -  save job - more...,-  save job - more...,,,"Livonia, MI",30+ days ago,
Full Stack Engineer,https://www.indeed.com/rc/clk?jk=3f0c3d6c0ee2401c&fccid=7aa619dbecba080d&vjs=3,Ambassador,Design and build scalable services and drive major architecture implementations. Self-starting and understands the big picture....,30+ days ago   -  save job - more...,-  save job - more...,Ambassador,39 reviews,"Royal Oak, MI",30+ days ago,
PLC Programmer,https://www.indeed.com/company/Gonzalez/jobs/PLC-Programmer-fee2c7630723887c?fccid=dd616958bd9ddc12&vjs=3,Gonzalez,HMI programming and configuration of software packages. PLC Programmer Job Description*....,17 days ago   -  save job - more...,-  save job - more...,,,"Livonia, MI",17 days ago,
Intern,https://www.indeed.com/rc/clk?jk=1ef0f8d7c10d81b9&fccid=b6a7d1f1a26ffe86&vjs=3,Williams International,If you are interested in applying for employment with Williams International and need special assistance or an accommodation to use our website or to apply for...,6 days ago   -  save job - more...,-  save job - more...,Williams International,45 reviews,"Pontiac, MI",6 days ago,
Technical Support Specialist,https://www.indeed.com/rc/clk?jk=be2ba861e3c8ee85&fccid=0715368957dccba7&vjs=3,Michigan First Credit Union,"Provide hardware, software, peripheral and helpdesk support. Install, update, configure and troubleshoot software in the enterprise desktop environment....",14 days ago   -  save job - more...,-  save job - more...,Michigan First Credit Union,43 reviews,"Lathrup Village, MI 48076",14 days ago,
ITS Desktop Technician,https://www.indeed.com/rc/clk?jk=c508576be8dd71b2&fccid=4304fad8952534dc&vjs=3,The Henry Ford,Build new and used workstations and ensure standard software loads. Provide hands on technical assistance with user desktops that may involve hardware...,30+ days ago   -  save job - more...,-  save job - more...,The Henry Ford,58 reviews,"Dearborn, MI 48124",30+ days ago,
.NET Developer (55K-80K) MI only,"https://www.indeed.com/company/IBMG-Solutions,-Inc/jobs/Net-Developer-Only-b2a8ab0fb97a2b20?fccid=5f0f6e42e257acec&vjs=3","IBMG Solutions, Inc",Review software code to ensure compliance with established standards. Assist with full software life cycle (SLC) of various application enhancements....,5 days ago   -  save job - more...,-  save job - more...,,,"Farmington Hills, MI",5 days ago,
Seco Tools Summer Internship Program,https://www.indeed.com/rc/clk?jk=cbc60b732e5e4231&fccid=417aea3c29932d48&vjs=3,Seco,"In the first year of the program, you’ll get to spend some time in the following departments learning about how a multi-million-dollar metal cutting...",30+ days ago   -  save job - more...,-  save job - more...,Seco,18 reviews,"Troy, MI",30+ days ago,
Programmer/Analyst,https://www.indeed.com/rc/clk?jk=0150531eca501a61&fccid=4697aa43ee5b96dc&vjs=3,Summit Sports,Provide ongoing support and enhancements to software applications and system. Demandware ( Web Platform). We are actively looking for an individual to work at...,6 months ago   -  save job - more...,-  save job - more...,Summit Sports,12 reviews,"Bloomfield Hills, MI",6 months ago,
MVVM C# .Net Developers,https://www.indeed.com/company/AI-Software-LLC/jobs/Mvvm-Csharp-Net-Developer-c62cce83e67fc31f?fccid=8d9b788606f9c9fd&vjs=3,AI Software LLC,"AI Software LLC is a Custom Software Development and IT Consulting Company based in Troy, Michigan (Greater Detroit)....",30+ days ago   -  save job - more...,-  save job - more...,,,"Troy, MI 48083",30+ days ago,
