title,title_link,company,summary,result-link-bar,tt_set,turnstileLink,slNoUnderline,date,salary,location
Court Reporter,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AZ88zP7YKxEH7IZhTxSxc9GWtaH9oFgfRZGa3g3dcHXhccRmIOfM8BC2g545UxgiL3JqZQmEXgI5u4NC7arUbe2HrmqkD-lg5pj1gunrQDaA-YawwZ88LpkEW5Wz0LRBNEo99--NI16unSsR_jD0zHqYPHxbDDLIrB_13P3lJ6-YV9g_7vy5kmnqCNHgmFlcMdPlCQ8EZQQh9ZsbhYTtK8FlfEv3L99w1Bh4RSXp2uC8M0bQhSACXwmttWNcM8UWLXZpbAblziWnbgR_kY4tguXNjhoHU_W8x8CtuleP_3cLO0OIcBw8OmPNq5z1MWRoGUMkf5wIOKv1xeBp9To26kFQwLUDHF2RboVAzzW_vwvyZ-_00hkLVIvsyjncnYo07Qwkez7PGw12FBdR9OPa6mcHdQWHTOVWL2IlqfqRJkuQ==&vjs=3&p=2&fvj=1,Precision Reporters,Must own stenographic hardware and software to be able to produce an ASCII file to be delivered to our corporate office. Capture The Record....,Sponsored - 4 hours ago   -  save job,-  save job,,,4 hours ago,"$75,000 - $100,000 a year",
QA Analyst/Engineer,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CqE2-id7EfMm1FhJA6gaLYsBEgffzgHDpWn7lwjgOSmV6okWe7vtLcI-DMEs2W_mqHQ7xAmIWehi4dNzXsxaCErXb_j6fMYPp4ltgvrwnTesUfr2hscE74k-DF34vaocNv7aY8CLnOhFBnBKppNZ8gytqcvusUnkvMaS6BkTQ4xlUBsIsdsQEm3PSgdEZlvYU9msrvwq3nADik1w3guBVMreHxZLAznNFGMJNO5RVOjU9yBSZhNBtnyg_TsQQXGXZv8qlxEArm7-t6urds77kKO8bBDMT6LVPhxP3z7YVb9QEqpae-g9A8BV5yw6QeRwWdNFM4OwtDdzWVElGLy-zZaXvsOZIP1_6OTybT6qNwEe9XV8FthOpHI0TGR42WVb-4B09mGMrPLTtHUSSSloqSBOCkMOW34rniGRtsVmM6qqzP4OJU-hLD&vjs=3&p=3&fvj=1,Rethink,"3 + years of Software QA experience. As QA Analyst/Engineer, you'll be responsible for the quality assurance, web site and application testing, client technical support for the Company's website and platform....",Sponsored - 7 hours ago   -  save job,-  save job,,,7 hours ago,"$90,000 - $100,000 a year",
Software Development Teacher (Part Time),https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DA8NKT0gkgC5wsHyLUua1vHXjphviSAvrBhXsnB7HsL36Mic6U1Mafh4Yr9T3IPM-Lli1IBZuwGr-grwamqH7cCPCiLdDwGsTdd-1htE9lM8DTv8_jOvVR5tbe2PLlV3S4bJLetsqx83_fv15gPqW7l5S0Y7qwnA-XwRlwWmLVxydC64ESGNbu7me4805kfo__xPuir0LFtuilgdYYw5opTmL_ACC8es4I7ZJxL5uooB6xZb3QguxobnVNKD7ijlx7bGuaH9S_0g6ZZcCDaZYgQvkWCFTpqEN7uDPeCN_6kdxVfVg3rCCOrUeOhA7LKPvsg5l3bVnmgNYJCJVdD3qNy8tkwFfz-b1ot8E1YW9bzEWfg4a8GOxLfinyUonN_cTMoYYnUO4D5Cz61c4B0ssYOA6JINQ3GmRirX69yD9RzpmvI6ntcp9d7q_-XZEtNN2mbsBNWNyakylt77bxUa31&vjs=3&p=4&fvj=1,Technology and Media School,"Technology and Media School – Software development teacher *. Programming in Java. A passion for technology is a plus. Technology and Media School, a new, fully accredited professional school in midtown Manhattan, seeks an experienced...",Sponsored - save job,save job,,,,,
Video Captioner,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AkDYFaZ7TdX-0QWLtHJtxPrvlCZ7Mc9zjVngLfbDUi8mHFU3vRydffuGpR7aDyy0_FB89IqGdNrwCKomW6d-3VlD1foZmr_R2BOI-fbEoWjOu9S2e53as-NUysKvOQnPJZfA3Ep1FbDZlsoiw1v1-waH0E356reiTNVMwogTj-QQDg2KljmqxeY7DMk-eK6poDbVYYkjtagCh2fxPsspRm1YUzY0T3zaueoYy4jlZVQpEhkew8bDa0hYcyAlA971LpFQT1Gf2oq6SqTwEWWTxkyW2TQ5JFPCTg1A0PLlE3YOuZR2myJELSmsVuTUPymAlmCACXP__2vK34m7JEN599kMdTBLAFhSJKku_h2XQh-sAqVrg5ogc7R4tza2_MmO6YY5DmlKwsE_6ml9FKewzR&vjs=3&p=5&fvj=1,Rev.com,"And will be paid to add text captions to the videos using Rev's proprietary captioning software. Work from home or wherever you want, everything is done online. Paid weekly via Paypal. Earn flexible income captioning videos with Rev*....",Sponsored - save job,save job,Rev.com,428 reviews,,"$1,570 a month",
Software Support Specialist,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DE0CiiOQKYP4gbiVrX0qx_ujVz-G5ZYTzjmPzjxJV5sATWzjehJGighsunC3k2M6_bqUCmi0UyAHzfW1u9iF_4dltB479wdcrqIQ2rELU367RMlnp6C4zpSKbYwvjuTLfKpoQkLcnKQ0O1sJv_VsRgnfQ5JyjK81zVsq4V8toIfbt8vvdVCsE94j0bJ_5B5uNJf11LGM4xBjZ0sNTsTsVXlGfyK05f0P8OE4ALSpHNLsctOdTiXXBRKbgZFVtbOe3QzLYTvGB3q3itAy7Sq6JrN2yWFL0Kya8gE-53pzH_dIJMjXmIFJc2paOsFNWN2QfE0tXZX2hHTUMUb24FaR1u2ycs4RGgXNcs1QGbRpjRnUXjYGCzPx4gfm-PAmKdCfjiQCYNLRWFfjJSzU1qLUKfS2RsfynVY1_3dgo0LDFgzbbia26Jz0_d-equdxp8wnk=&vjs=3&p=6&fvj=1,Comtron USA,"Keen understanding of clinical work flows and how software can aid in patient care. When you join us at Comtron- Medgen EHR you’ll be part of a smart, driven team that shares your passion for exploration and discovery in the Healthcare...",Sponsored - save job,save job,,,,"$45,000 - $55,000 a year",
VR Floor Instructor,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CIQ-49fpl0iAdT1kSvE2FPrEr33m8UEir5eJ1QHENeAXxLxfAgp7LuicWeLf_W-xCuKF3RvWJTVzSuAga4-ow0GTdsJavgjbRm48zC3n8ObjiuEDyYZuIu9kUue92zJfo9vxvg4TuaHVsl7lW2idthJeKc93kp0JB4BkaGJMCiEPDtmaNIWf_k4h16pEkMuIvobmA_Jts6513JHZT8F28werg5UopCv3SIWUhqX4uOGnrRfKKd9TYt5oEwBsbOoDzrMQClSTd6g1TkH8YrI_Qg9XB_KIaZzbVs3zmX22fcFjL2AN1mPJVX0SWd-Rby1-e6nBM3HrsG8ER099ZaWOtW80fK5WIllhX3rROuGqN4URC8zwuAz4FEGUsgT8y6dlfxE5XiwcYfSOE3ewCfBaaPSDDUYGG0GrNWQvoGSAt-3Vkc1clUCIhy1aUcc2164zM=&vjs=3&p=7&fvj=1,VR WORLD NYC,"You will help Guests interact with the newest hardware, the best software, and the most forward-thinking activation's. Entrepreneurial spirit with the passion for Mixed Reality Entertainment, Arts and VR World Brand....",Sponsored - save job,save job,,,,,
Programmer Analyst-Entry Level,https://www.indeed.com/company/Atos-Syntel/jobs/Programmer-Analyst-Entry-Level-0f9461d286e9fd6e?fccid=f67c57d420c3161d&vjs=3,Atos Syntel,"Deliver software development improvements. Programming experience from internships or university projects in any language (Java, .NET, C#, C++, Python, Big Data, Oracle, etc.). Perform analysis of existing or new processes to determine how...",4 days ago   -  save job - more...,-  save job - more...,Atos Syntel,11 reviews,4 days ago,,"Manhattan, NY"
Software Enginnering Internship,https://www.indeed.com/rc/clk?jk=9ab8a7f3fcb5b1d7&fccid=c2e8af6a0452610c&vjs=3,PhotoShelter,"Our simple and powerful visual asset management platform enables organizations to easily and quickly centralize, organize and access their images and video. The Developer Internship is a paid opportunity and has the objective to support our...",11 days ago   -  save job - more...,-  save job - more...,PhotoShelter,3 reviews,11 days ago,,"New York, NY 10003 (Greenwich Village area)"
"Senior Software Engineer (Search, $200k+)",https://www.indeed.com/company/Grow/jobs/Senior-Software-Engineer-e3d0d67b0f6290f0?fccid=da43c81aada13ee6&vjs=3,Grow,"As a Senior Software Engineer, you’ll be building new services to scale and support a growing search platform that drives major revenue for the company. One of New York’s top engineering groups is looking for Senior Software Engineers with...",3 hours ago   -  save job - more...,-  save job - more...,,,3 hours ago,"$150,000 - $200,000 a year","New York, NY 10017 (Midtown area)"
Front End Software Engineer,https://www.indeed.com/rc/clk?jk=24641677be64f892&fccid=a5b4499d9e91a5c6&vjs=3,Google,"1 year of experience in Software Development. Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another....",4 months ago   -  save job - more...,-  save job - more...,Google,"2,929 reviews",4 months ago,,"New York, NY 10011 (Chelsea area)"
