date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-06," Inventory Control, Shipping & Receiving","Lubbock, TX",Current Employee ,Inventory control,Inventory control,0,"I get to deal with numbers and some degree of data entry and, get physical exercise.","Some long exhaustive hours, not enough coffee.",Always strive for continuous excellence.,5.0,3.0,5.0,5.0,5.0,5.0
2019-03-17, Core Commercial Sales Representative,"Omaha, NE",Current Employee ,"JCI or ""Die""?","JCI or ""Die""?",0,Ability to sell or 'cross-sell' numerous solutions under one company.,The inability to hire qualified leaders to support new staff. Terrible internal customer service support. There is very little follow through on problem solving and where to find answers.,Management must know the product and be able to train and support new hires in every aspect of their job. AND must have a billing specialist/admin in each office.,3.0,2.0,2.0,3.0,1.0,2.0
2019-03-05," A, _book Steam Fitter/Instrumentation and Calibration","King of Prussia, PA",Former Employee ,Vibrational energy specialist,Vibrational energy specialist,0,"All around great company as big as the are its like a well oiled machinery are not just a employee number, you once accepted after 90 day probation . Everyone is like family, if you need something , anything ask for it and it's yours if it's pertaining to your work.if you have issues in your personal life talk to your coordinator and they will be attentive to your concerns. ,thanks Bill Belamy. Your number 1","My truck was brand new, they purchased all the tools that I needed everything that the union handbook said I needed and more, provided all equipment for a home office for my convience, you need to be a team player...",Keep doing what you do. Bravo management from every state is great.,5.0,5.0,5.0,5.0,5.0,5.0
2019-04-08, BTS,"Milwaukee, WI",Current Employee ,Toxic,Toxic,0,Looks good on a resume if you're in Milwaukee,"Health benefits are horrid, delay of raises, reduction in 401k base contribution - a benefit they don't even tell employees about, RIF after RIF.","Quit cutting to make the numbers and actually grow sales instead of talking about it. You say you want to be the premier employer of choice in the area but then do everything you can to make employees leave on their own accord. If they don't you just fire them and move their jobs to a shared service center. By the way, cutting the benefits and telling employees it's to be market competitive is a lie. Just like when you say organizational health isn't about how engaged people are or how much they like their jobs. When all else fails chalk it up to integration!",1.0,4.0,1.0,2.0,1.0,2.0
2019-04-08,,,Current Employee ,Run,Run,0,There are a lot of great people to work with,Johnson Controls took over and ruined everything,,1.0,,,,,
2019-03-02,,"Kernersville, NC",Former Employee ,"Formation , COS , Pasting & Shipping","Formation , COS , Pasting & Shipping",0,"Last time I worked was in 05 , it had Great pay and benefits . I’m sure it has changed but I worked there for 20 yrs and I hated to go .","Very stressful at times , I worked in alot of lead and in the formation area which had Acid fumes and burns .",I’d like to have a better understanding between management and employees. It seemed as far as they wanted to mingle was to the levels of supervisors. Come on down more to us little pple .,4.0,3.0,3.0,3.0,3.0,3.0
2019-03-01, Drafter II,"York, PA",Current Employee ,Big company with decent benefits,Big company with decent benefits,0,"Great pay, lots of time off both as vacation and holidays, friendly coworkers",Communication between departments is not great. It's hard to tell who you need to talk to or where you need to look if you have a problem,Hire better (more knowledgeable) HR representatives and provide more training to new employees.,4.0,4.0,3.0,4.0,4.0,3.0
2019-02-05, Customer Service Representative,"Washington, DC",Former Employee ,Customer Service Representative,Customer Service Representative,0,"Great Company, value their employees and opportunity to excel.","Once you get in with a low salary, hard to get big raises. Usually you end up having to leave the company to come back again.",Important to keep loyal employees.,5.0,3.0,5.0,5.0,5.0,5.0
2019-03-11, HVAC,,Former Employee ,Only about sales,Only about sales,0,"Good Benefits, and transparent bonuses",Only after sales and increase in dollar growth,"Focus on customer and employees, not only after sales",2.0,2.0,2.0,3.0,4.0,1.0
2019-03-09, Systems Applications Engineer,"Capitol Heights, MD",Former Employee ,HVAC Equipment Operations,HVAC Equipment Operations,0,"-Good benefits
-Large Company with lots of opportunities
-Deep technical knowledge
-Decent work life balance
-Branch strives to foster relationships in house via events
-Valued diversity and inclusion","-Employees are stretched thin. Unreasonable workloads and stressful situations
-Overall little team chemistry or connection to company mission
-High turnover","-All employees must strive to foster an environment of learning and leaning on one another to achieve broader goals. The ""every person for him/herself"" mentality will not achieve sustainable success.",2.0,3.0,3.0,4.0,4.0,2.0
