date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-04-19, Customer Support Specialist,Melbourne (Australia),Current Employee ,'A Good Time - All The Time',Less than a year,0,Fabulous ethos and values - No corporate BS!,Estonia is too far away! Want to meet the Estonia team!,Thank you!,5.0,5.0,5.0,5.0,5.0,5.0
2018-04-19, Operations Specialist,Melbourne (Australia),Current Employee ,Operations Specialist,Less than a year,0,"Excellent company, providing practical support as well as personal and professional growth assistance. The company creates an agile environment",I have none to provide.,,5.0,5.0,5.0,5.0,5.0,5.0
2018-04-19, Senior Operations Specialist,Bucharest (Romania),Current Employee ,Best company I've worked for in Romania,Less than a year,0,"flexible hours
nice environment
lovely colleagues
marvellous macbook air laptops",no private health insurance or other benefits,hire more people with a bachelor's degree,5.0,5.0,5.0,5.0,3.0,5.0
2018-04-19, Operations Specialist,Nairobi (Kenya),Current Employee ,"Best place to work so far, and i have been around quite...",Less than a year,0,"Great working culture.
Teamwork is key.
Genuine concern for all employees.
Numerous events and office functions.
Great salary and bonuses
Zero tolerance to corporate bs.
No titles, just work",There is too much pros it is easy to get comfortable.,Keep doing what you are doing. We will help you improve.,5.0,5.0,5.0,5.0,5.0,5.0
2018-04-19,,,Current Employee ,Rocket growth and great team,More than a year,0,"Really cool team, ambitious, smart and supportive",We could have more developers to build product faster and enable more task/feature automation. Sometimes remote work creates few comms issues.,Currently great. But improve internal comms and unify activities and benefits between offices,5.0,4.0,4.0,5.0,4.0,5.0
2018-04-20, Expansion Manager,Tallinn (Estonia),Current Employee ,"Dream big, get stuff done and have fun",More than 3 years,0,"Fast growing company, changing the way people move around the city, talented team, stock options to employees.",Long and cold winters in Tallinn.,,5.0,5.0,5.0,5.0,5.0,5.0
2018-04-20, Operations Specialist,Accra (Ghana),Current Employee ,Best Company,Less than a year,0,Taxify has a very serene working space where everyone is allowed to express their ideas and skills. It’s a company that allows you to personally grow whiles you work towards growing the company. The work relationship is awesome and this has made the company a dream place to work. I have personally been with two multinationals before Taxify but Taxify so far has been the place I have been looking to work at. Great work ethics and great working culture!,"For me, there are no downsides to working at Taxify because when you come from out there into the great working ambience, you can hardly see downsides in such an atmosphere. My current team I work with tells it all. Great Great team by all standards.","Keep doing whatever you are doing. We are here to support and make sure the corporate
world learns from us!",5.0,4.0,5.0,5.0,4.0,5.0
2018-04-20, Operations Specialist,Lagos (Nigeria),Current Employee ,Great place for creative minds,,0,"System lets you grow, Great incentives and benefits,. Your Hard work always pays off. You don’t know a thing?, don’t be shy to ask questions, everyone is always open to be of help","If you don’t love to put in your best, you can’t thrive here!",Don’t let the light dim on this Torch! Keep at the great work,5.0,5.0,5.0,5.0,5.0,5.0
2018-04-20,,Tartu (Estonia),Current Employee ,The best place to work. Period.,Less than a year,0,"Open
Transparent
Amazing prospects
Amazing culture
Taxify really looks after its employees
We are like a one big happy family",Nothing to write here. There aren't any cons :),Keep up the good work and let's keep heading in the same direction we have been!,5.0,5.0,5.0,5.0,5.0,5.0
2018-04-20,,,Current Employee ,"Wonderful established startup, great people, interesting challenges",,0,"- Nice open culture
- Nice people
- Work from home that actually works
- Financial package",- Techstack is Javascript and NodeJs,Keep it up!,5.0,4.0,5.0,5.0,5.0,5.0
2018-04-20,,,Current Employee ,The best job ever!,,0,"Taxify has a very supportive working environment where you are valued as a person. Teams are made of passionate, smart people who care about what they do and in such a place, you as an individual and as an employee can only thrive.",I haven't noticed any cons so far,,5.0,5.0,5.0,5.0,5.0,5.0
2018-04-20,,Tallinn (Estonia),Current Employee ,A rare chance to work for a European tech company with a truly global ambition,Less than a year,0,"- Catch a company in hyper-growth mode
- It's one of the most dynamic industries in the world right now
- Things move fast and you're able to have a big impact",- Growth is hard - don't join if you expect everything to be perfect,- Going from 10 to 100 to 500 employees is a cultural challenge that needs a lot of support and nurturing,5.0,4.0,4.0,5.0,5.0,4.0
2018-04-20, Business Operations Manager,Johannesburg (South Africa),Current Employee ,Operations Manager,More than a year,0,We value smart working over hard work. The company values high achievers and the renumeration is top-notch!,Things sometimes take too long to be done.,,5.0,5.0,5.0,5.0,5.0,5.0
